trade_date,total_quantity,total_amount,num_transactions,closing_rate,SMA_3,SMA_5,VWAP,cumulative_volume,cumulative_amount
2025-03-24,87135.0,1590.2,959,478.0,478.0,478.0,482.37365393413205,87135.0,1590.2
2025-03-25,121381.0,763.0,1112,480.0,479.0,479.0,479.84805238928203,208516.0,2353.2
2025-03-26,78925.0,2108.0,791,481.0,479.6666666666667,479.6666666666667,480.7343265990103,287441.0,4461.2
2025-03-27,65488.0,769.0,767,485.0,482.0,481.0,484.5674220606904,352929.0,5230.2
2025-03-30,97919.0,1086.0,972,491.0,485.6666666666667,483.0,489.3442163177256,450848.0,6316.2
2025-04-01,72053.0,855.0,754,484.6,486.8666687011719,484.32000122070315,485.4896846824906,522901.0,7171.2
2025-04-02,80824.0,2626.7,806,485.0,486.8666687011719,485.32000122070315,485.65959898143257,603725.0,9797.9
2025-04-03,115518.0,770.1,934,489.5,486.3666687011719,487.02000122070314,489.9590079132938,719243.0,10568.0
2025-04-07,73436.0,485.0,742,488.0,487.5,487.6200012207031,486.02893211043454,792679.0,11053.0
